Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,1,NA,22,27,1,4,2,3,14,13,,,0,0,,,86,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,2,NA,38,32,3,4,1,2,9,10,,,1,0,,,100,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,3,NA,42,33,,1,4,4,11,6,,,0,0,,,101,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,4,NA,39,33,2,2,2,2,13,7,,,0,0,,,100,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,UG,NA,19,3,4,,3,,1,1,,,0,0,,,31,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,40,Hillsborough E.S.,55,NA,187,159,11,12,15,11,56,46,,,1,0,,1,499,21,5,20,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,KF,NA,6,4,,1,4,1,,1,,,0,0,,,17,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,KH,NA,25,17,1,,2,9,5,4,,,0,0,,,63,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,1,NA,22,18,1,5,5,4,12,12,,,1,1,,,81,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,2,NA,23,21,,2,1,4,8,8,,,0,1,,,68,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,3,NA,22,24,1,5,6,6,7,8,,,0,0,,,79,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,4,NA,29,31,4,1,3,5,10,15,,,1,0,,,99,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,60,Sunnymead E.S.,55,NA,127,115,7,14,21,29,42,48,,,2,2,,,407,37,18,20,1
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,KH,NA,20,13,,2,1,2,9,5,,,0,0,,,52,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,1,NA,30,26,4,,2,1,18,7,,,0,0,,,88,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,2,NA,23,18,,2,4,3,9,10,,,0,0,,,69,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,3,NA,38,28,2,2,2,2,13,8,,,0,0,,,95,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,4,NA,29,24,4,1,2,1,7,6,,,0,0,,,74,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,UG,NA,17,5,2,3,6,2,6,2,,,0,0,,,43,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,70,Triangle E.S.,55,NA,157,114,12,10,17,11,62,38,,,0,0,,,421,16,12,14,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,80,Woodfern E.S.,KF,NA,8,3,,,1,2,1,,,,0,0,,,15,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,80,Woodfern E.S.,KH,NA,21,25,,1,2,8,3,6,,,0,0,,,66,,,,
2010-2011,35,SOMERSET,2170,HILLSBOROUGH TOWNSHIP,80,Woodfern E.S.,1,NA,29,29,3,1,5,3,1,8,,,0,0,,,79,,,,
