Year,Co code,County Name,DIST_ID,District Name,SCHOOL_ID,School Name,PRGCODE,GRADE_LEVEL,WH_M,WH_F,BL_M,BL_F,HI_M,HI_F,AS_M,AS_F,AM_M,AM_F,PI_M,PI_F,MU_M,MU_F,ROW_TOTAL,FREE_LUNCH,REDUCED_LUNCH,LEP,MIGRANT
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,7,NA,1,,,,1,,,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,8,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,9,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,12,NA,,1,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,UG,NA,12,4,11,2,4,1,,,,,0,0,1,,35,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,5,N.J. Regional Day Sch at Hamilton,55,NA,16,5,11,3,5,1,,,,,0,0,1,,42,11,2,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,PF,NA,,1,1,,1,,1,,,,0,0,,,4,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,PH,NA,,,,,,1,1,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,KF,NA,,,,,,,2,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,KH,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,1,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,2,NA,,1,1,,1,,,,,,0,0,,,3,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,3,NA,2,1,,,1,,,,,,0,0,,,4,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,5,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,UG,NA,22,11,27,16,29,7,11,4,,,0,0,,,127,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,50,Joseph F. Cappello School,55,NA,27,14,29,16,32,8,15,4,,,0,0,,,145,59,10,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,9,NA,,1,1,1,,,,,,,0,0,,,3,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,10,NA,1,,,1,,,,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,11,NA,2,2,1,1,3,,,1,,,0,0,,,10,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,12,NA,4,1,1,,,,,,,,0,0,,,6,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,UG,NA,42,23,63.5,32.5,14.5,13.5,6,2,,,0,0,,1,198,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,55,Mercer High School,55,NA,49,27,66.5,35.5,17.5,13.5,6,3,,,0,0,,1,219,81.5,12,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,3,NA,,,1,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,4,NA,2,1,3,1,,,1,,,,0,0,,,8,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,5,NA,4,,,,,1,,,,,0,0,,,5,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,6,NA,3,,,,2,,1,,,,0,0,,,6,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,7,NA,4,2,,,,,,,,,0,0,,,6,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,8,NA,,,1,,1,,,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,9,NA,1,2,,,1,,,,,,0,0,,,4,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,10,NA,2,,,,,,,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,12,NA,0.5,,,,,,,,,,0,0,,,0.5,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,UG,NA,50,18,86,22,26,6,8,2,,,0,0,3,,221,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,70,Mercer Elemtary School,55,NA,66.5,23,91,23,30,7,10,2,,,0,0,3,,255.5,97,22,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,PF,NA,,1,1,,1,,1,,,,0,0,,,4,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,PH,NA,,,,,,1,1,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,KF,NA,,,,,,,2,,,,0,0,,,2,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,KH,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,1,NA,1,,,,,,,,,,0,0,,,1,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,2,NA,1,1,1,,1,,,,,,0,0,,,4,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,3,NA,2,1,1,1,1,,,,,,0,0,,,6,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,4,NA,2,1,3,1,,,1,,,,0,0,,,8,,,,
2010-2011,21,MERCER,3103,MERCER COUNTY SPECIAL SERVICES SCHOOL DISTRICT,999,Total,5,NA,5,,,,,1,,,,,0,0,,,6,,,,
